theme	name	prompt
boulangerie	un_client	"A customer depicted reaching toward baked goods with casual posture, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_vendeuse	"A bakery clerk illustrated offering a pastry with a friendly gesture, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	un_fournil	"A baking room represented as a simple workspace with muted equipment hints, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_couche	"A couche cloth depicted as a folded linen sheet for supporting dough, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_lame	"A scoring blade illustrated as a thin sharp tool, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_coupe	"A bread cut shown as a precise scoring mark on dough, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	un_poids	"A dough weight represented as a small calibrated mass, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	un_repos	"A resting phase illustrated as dough relaxed under a cloth, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_pousse	"A proofing stage shown as dough gently rising, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_fournee	"A batch of baked goods depicted as freshly released items, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	du_gaz	"Gas represented as a subtle flame or pressure line, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_temperature	"A temperature indicator illustrated as a clean rising gauge, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	un_petrin	"A mixer shown as a sturdy bowl with rotating hooks, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	du_sarrasin	"Buckwheat flour illustrated as a darker fine powder mound, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_tradition	"A traditional bread depicted as a long rustic loaf with bold scoring, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	un_pain_complet	"A whole-wheat loaf illustrated with dense grain texture, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	un_sandwich	"A sandwich shown as layered ingredients between slices of bread, with a minimal surrounding context that supports the action without defining a full scene."
chambre_dormir	une_chambre	a calm bedroom interior with soft lighting and simple furniture, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_lit	a neatly arranged bed with clean sheets and soft textures, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_matelas	a thick comfortable mattress placed on a simple bed frame, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_oreiller	a soft pillow resting at the head of a bed, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_couette	a fluffy duvet slightly folded on a bed, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_drap	a smooth bed sheet stretched neatly over a mattress, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_couverture	a warm blanket laid across a bed, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_table_de_chevet	a small bedside table holding simple nighttime essentials, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_lampe_de_chevet	a soft-glowing bedside lamp on a small table, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_reveil	a compact alarm clock resting on a bedside table, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_armoire	a large wardrobe standing against a bedroom wall, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_commode	a wooden dresser with neatly arranged drawers, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_tiroir	a partially opened drawer showing simple personal items, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_cintre	a single clothes hanger suspended inside a wardrobe, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_tapis	a soft bedroom rug placed near the bed, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_rideau	a fabric curtain gently falling beside a window, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_fenetre	a simple bedroom window allowing soft ambient light, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_volet	a wooden shutter partially closed over a window, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_miroir	a bedroom mirror reflecting soft interior details, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_dressing	a built-in wardrobe with organized shelves and clothes, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_chaise	a simple bedroom chair placed beside a wall, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_bureau	a tidy bedroom desk with minimal objects on top, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_etagere	a small bedroom shelf holding a few neatly arranged items, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_livre	a book resting on a bedside table, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_poster	a decorative poster pinned to a bedroom wall, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_cadre	a framed picture displayed on a bedroom wall, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_veilleuse	a small nightlight emitting a gentle glow, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_peluche	a soft plush toy resting on a bed, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_jouet	a simple toy placed on the bedroom floor, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_chaleur	a gentle warmth filling a quiet bedroom atmosphere, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_silence	a serene quietness characterizing a peaceful bedroom, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_sommeil	a person resting deeply in a calm environment, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_cauchemar	a tense moment of disturbed dreaming, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_reve	a soft dreamlike atmosphere suggesting gentle imagination, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_pyjama	a pair of comfortable pajamas laid neatly on a bed, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_pantoufle	a cozy slipper resting beside a bed, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_radiateur	a quiet radiator warming the bedroom, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_climatiseur	a compact air conditioner fixed near the window, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_interrupteur	a simple wall switch near a bedroom door, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_prise	an electrical outlet placed low on a bedroom wall, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_mur	a plain bedroom wall with soft shadows, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_plafond	a smooth bedroom ceiling with subtle lighting, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_plancher	a clean wooden bedroom floor, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_moquette	a soft carpeted floor with muted colors, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_parfum	a gentle bedroom fragrance bottle resting on a shelf, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_bougie	a lit candle giving off warm light, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_etendoir	a small indoor drying rack positioned discreetly, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_panier_a_linge	a laundry basket placed near a bedroom corner, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_poubelle	a small waste bin placed beside a desk, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_serrure	a bedroom door lock seen up close, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	dormir	a person resting peacefully in a calm bedroom atmosphere, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_sommeil	a serene state of deep rest suggested by soft surroundings, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_nuit	a quiet nighttime ambiance with dim light, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_repos	a gentle resting moment conveyed through a calm setting, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_reve	a subtle dreamy atmosphere suggesting imagination, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_cauchemar	a brief unsettling dreamlike tension, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_insomnie	a restless sleepless moment expressed with subtle tension, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_berceuse	a gentle lullaby sound suggested through soft visual cues, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_silence	a deep quiet atmosphere characteristic of a peaceful bedroom, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_obscurite	a soft darkness filling a calm interior space, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_lumiere	a dim warm light source creating a soothing ambiance, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_obscurcissement	a gentle dimming of light inside a quiet room, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_temperature	a subtle sense of ambient warmth or coolness, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_aeration	a slight airflow entering a calm room, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_lit	a neatly arranged bed with soft bedding, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_matelas	a thick comfortable mattress resting on a frame, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_sommier	a simple bed base supporting a mattress, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_couette	a fluffy duvet slightly folded, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_oreiller	a soft pillow positioned at the head of the bed, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_taie	a clean pillowcase laid neatly on fabric, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	une_housse	a protective cover carefully fitted on bedding, with a minimal surrounding context that supports the action without defining a full scene.
chambre_dormir	un_drap	a smooth sheet stretched across a mattress, with a minimal surrounding context that supports the action without defining a full scene.
